,Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
16,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"Qué bonito es pejelandia ,todos somos felices,felices  y felices.",UgyDmHaOCa8pj1DSRwZ4AaABAg,0,0
17,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"es cierto el despojo de propiedades a las personas adultas en cd neza,en complicidad con el gobierno municipal  , autoridades judiciales o con hampones.",Ugwd5ovmjnZ0aI5bFHJ4AaABAg,0,0
18,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"I es increíble que todavía aya mexicanos mensos que creen en las palabras de estos políticos corruptos  con respeto comentó señor presidente deje ya de ser ciego y de de ser igual as l que los otros  cumpla su trabajo para eso fue elegido pero ciego está más sus seguidores  récord de muertes no es gusto  ,abrazos no balazos  puras frases  si no puede deje el puesto y déjelo a él hijo del chapo el si save cómo controlar no promete sólo cumple para exi me gustaba bola de presidentes baratos que solo buscan como robar y asesinar bola de corruptos  y cambie esa cara de menso",Ugzk2aJhyjCB_uUkkDJ4AaABAg,0,0
19,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,NADA ES GRATIS EN ESTA VIDA ALGUIEN LO TINE QUE PAGAR,Ugx0l0MUiKKtL2EHVOl4AaABAg,2,0
20,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"Que paso mi Presidente como quieres entre TELETON a esto sabiendo es un robo, eso ya no me gusto.",UgyTdm3GkPhEoqw3o8R4AaABAg,0,0
21,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,q no les quite la ayuda a personas con alguna discapasida mental los propios empleados dicen que el gobierno federal las mando quitar no mienta,UgzU1ychjLeNh_TkDx94AaABAg,0,0
22,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,Lo que estás asiendo es robarte el presupuesto de ese programa,UgyAfGDDSTSbsHcv0X94AaABAg,1,0
23,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"Que creen ? Ya empezó la "" censura"". Cancelaron una charla en el Colegio de México, donde se iba a hablar sobre la caída del Dictador Boliviano Evo Morales, solo porque al Presidente le "" ofende"" que se divulguen verdades. Recuerden: "" La Censura es el principio de la dictadura"", más pruebas que nuestro "" pseudo humilde presidente"" nos es lo que aparenta. Además de sus compras en LA CASA BIJAN,  donde solo hay 300 clientes, y hay grandes per$onajes poderosos, y Lopez Obrador es cliente asiduo. Esto es "" humildad""? Por esto votaron? DESPIERTA  MÉXICO!!!!!!!!!",UgwNXySMyZ2Ks8_PU2N4AaABAg,0,0
24,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"Nooooo Mano Noooo!! Les está dando por su lado a los Gobernantes  Corruptos.... Por ahora. No hay peor ciego que el que no quiere ver. La gente con criterio sabe ver que esto lo hace pasar para que nos demos cuenta como Pueblo cómo se manejan los Gobernantes Corruptos y Lacras que tenemos, hace que pasen las cosas como Coahuila para que veamos que los Gobernantes nunca han sabido hacer bien su trabajo sólo robar, porque pasan muchas cosas y porque no les piden cuentas estos periodistas a los Gobernantes?? Chequen cada estado como realmente están en seguridad, homicidios y pidan cuentas a cada Gobernante en vez de estarle echando toda la culpa a AMLO.  Tiempo al tiempo ....",UgxCjpmb2LZtKGCpPxF4AaABAg,0,0
25,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"A QUE PRESIDENTE NO ES LO MISMO ANDAR DE VERDULERO COMO CUANDO USTED ANDABA EN CAMPAÑA, AHORA QUE TIENE LA INVESTIDURA DE PRESIDENTE SE LE BRINCA LA CADENA NO TIENE UNA ESTRATEGIA DE SEGURIDAD, YA QUE PREFERIMOS ANDAR DE GüARACHES PERO CON SEGURIDAD, NO COMO EL REGALO QUE LE DIERON EL FIN DE SEMANA CON TANTO MUERTO, YA QUE AL PARECER LOS DELINCUENTES SE SIENTEN CON LUZ VERDE PARA HACER SU DESMADRE.",Ugz_lXE-B02NEr-VlRZ4AaABAg,3,6
